Memory loaded. Starting execution.
[PC=0001 SP=4096 ACC=0 ZF=0] FETCH instr=0x1006 (op=4 operand=6)
[PC=0002 SP=4096 ACC=6 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0003 SP=4096 ACC=6 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4095 ACC=6 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4095 ACC=6 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4095 ACC=6 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4095 ACC=6 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4095 ACC=6 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4095 ACC=6 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4095 ACC=5 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4095 ACC=5 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4094 ACC=5 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4094 ACC=5 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4094 ACC=5 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4094 ACC=5 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4094 ACC=5 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4094 ACC=5 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4094 ACC=4 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4094 ACC=4 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4093 ACC=4 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4093 ACC=4 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4093 ACC=4 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4093 ACC=4 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4093 ACC=4 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4093 ACC=4 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4093 ACC=3 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4093 ACC=3 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4092 ACC=3 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4092 ACC=3 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4092 ACC=3 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4092 ACC=3 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4092 ACC=3 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4092 ACC=3 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4092 ACC=2 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4092 ACC=2 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4091 ACC=2 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4091 ACC=2 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4091 ACC=2 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4091 ACC=2 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4091 ACC=2 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4091 ACC=2 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4091 ACC=1 ZF=0] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4091 ACC=1 ZF=0] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4090 ACC=1 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4090 ACC=1 ZF=0] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4090 ACC=1 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4090 ACC=1 ZF=0] FETCH instr=0x2411 (op=9 operand=17)
[PC=0010 SP=4090 ACC=1 ZF=0] FETCH instr=0x0813 (op=2 operand=19)
[PC=0011 SP=4090 ACC=1 ZF=0] FETCH instr=0x1C16 (op=7 operand=22)
[PC=0012 SP=4090 ACC=0 ZF=1] FETCH instr=0x0C13 (op=3 operand=19)
[PC=0013 SP=4090 ACC=0 ZF=1] FETCH instr=0x3405 (op=13 operand=5)
[PC=0006 SP=4089 ACC=0 ZF=1] FETCH instr=0x0813 (op=2 operand=19)
[PC=0007 SP=4089 ACC=0 ZF=1] FETCH instr=0x0C14 (op=3 operand=20)
[PC=0008 SP=4089 ACC=0 ZF=1] FETCH instr=0x0813 (op=2 operand=19)
[PC=0009 SP=4089 ACC=0 ZF=1] FETCH instr=0x2411 (op=9 operand=17)
[PC=0018 SP=4089 ACC=0 ZF=1] FETCH instr=0x1001 (op=4 operand=1)
[PC=0019 SP=4089 ACC=1 ZF=0] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4090 ACC=1 ZF=0] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4090 ACC=1 ZF=0] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4090 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4090 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4091 ACC=0 ZF=1] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4091 ACC=0 ZF=1] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4091 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4091 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4092 ACC=0 ZF=1] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4092 ACC=0 ZF=1] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4092 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4092 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4093 ACC=0 ZF=1] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4093 ACC=0 ZF=1] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4093 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4093 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4094 ACC=0 ZF=1] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4094 ACC=0 ZF=1] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4094 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4094 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0014 SP=4095 ACC=0 ZF=1] FETCH instr=0x0C15 (op=3 operand=21)
[PC=0015 SP=4095 ACC=0 ZF=1] FETCH instr=0x0814 (op=2 operand=20)
[PC=0016 SP=4095 ACC=0 ZF=1] FETCH instr=0x3C15 (op=15 operand=21)
[PC=0017 SP=4095 ACC=0 ZF=1] FETCH instr=0x3800 (op=14 operand=0)
[PC=0004 SP=4096 ACC=0 ZF=1] FETCH instr=0x4000 (op=16 operand=0)
OUTPUT: 0
[PC=0005 SP=4096 ACC=0 ZF=1] FETCH instr=0x0400 (op=1 operand=0)
HALT encountered. Stopping.
Execution finished. Final ACC=0 PC=5 SP=4096
